Dist	Intercept	LogBias1	LogBias2	RSS_LM	R.square_LM	AIC_LM
140000	0.397136753704127	0.3576430940197	0.300490746708764	4478.25964082861	0.944979350587158	346.193500509156
145000	0.393700853536565	0.365337290984531	0.258034738862682	5144.55873784123	0.936288504178588	329.751838352725
150000	0.378980834320327	0.375025904945048	0.224754901862059	4658.55416770036	0.911800284241758	326.899281844114
155000	0.335259615920882	0.326584597436073	0.307259884532665	4068.00008759267	0.877670529476741	304.075813096467
160000	0.331201909464655	0.361626883442288	0.264293593511037	2919.79861886268	0.881146681575871	250.688601598509
165000	0.318295029781384	0.36488750002506	0.352870644515139	1953.70244008933	0.877501788310462	207.545291642136
170000	0.347441355627269	0.362651026282664	0.342668066602128	1523.60991487682	0.831498669519479	220.644604572414
175000	0.32242197680463	0.342350786242599	0.307036113938254	2132.52627581859	0.859049757878483	241.231116530492
180000	0.311319343143138	0.33061858154353	0.364070018867031	2269.190107624	0.86574899457723	231.811912459307
185000	0.32860637531809	0.378379103982053	0.351663930442615	1564.85810698347	0.84555652045732	200.935839372907
190000	0.280533301839533	0.301436794206221	0.291848832250529	1256.91829135345	0.74558958890164	151.622106279439
195000	0.299917191884411	0.249345676130604	0.286861969254788	1581.52313771675	0.794180615561999	186.826362275541
200000	0.314248387782661	0.263732785545479	0.280429754061156	1437.66121868222	0.785567873659152	190.882859060063
205000	0.288190397618129	0.29079625957056	0.338431570598984	1779.02456138415	0.612126346809763	179.052341799444
212486	0.273753116640983	0.32631609011912	0.284157529657213	2121.74785233389	0.650525275129336	255.915499183902
222494	0.26943707262237	0.29354218193833	0.215345700230838	1785.41579930965	0.556022825900887	195.499570302349
232504	0.247831658235782	0.261176674390601	0.226228478617695	2051.1654030533	0.587713963602226	194.400779665017
242515	0.231248960375557	0.266469638468877	0.289427819760527	1523.19490563205	0.58105249130924	116.497475981532
252500	0.231977913154204	0.263507116179378	0.227580612212218	1535.22942566765	0.552370519843599	84.3309145905024
262494	0.229902987741975	0.228942859889482	0.227582946569734	1394.74340717358	0.358092261722333	115.015120625115
272479	0.216685399820788	0.211152273172391	0.304972978525957	1618.20998066636	0.547787307375279	126.515291361719
